"행정구역","2024년03월_총인구수","2024년03월_세대수","2024년03월_세대당 인구","2024년03월_남자 인구수","2024년03월_여자 인구수","2024년03월_남여 비율"
"전국  (1000000000)","51,293,934","24,002,008","          2.14","25,547,370","25,746,564","          0.99"
"서울특별시  (1100000000)","9,384,739","4,485,819","          2.09","4,536,128","4,848,611","          0.94"
"부산광역시  (2600000000)","3,287,292","1,569,084","          2.10","1,601,773","1,685,519","          0.95"
"대구광역시  (2700000000)","2,369,962","1,097,169","          2.16","1,163,911","1,206,051","          0.97"
"인천광역시  (2800000000)","3,006,045","1,359,114","          2.21","1,502,956","1,503,089","          1.00"
"광주광역시  (2900000000)","1,415,774","656,755","          2.16","699,084","716,690","          0.98"
"대전광역시  (3000000000)","1,441,689","683,954","          2.11","718,943","722,746","          0.99"
"울산광역시  (3100000000)","1,101,336","492,279","          2.24","566,352","534,984","          1.06"
"세종특별자치시  (3600000000)","387,411","161,711","          2.40","192,907","194,504","          0.99"
"경기도  (4100000000)","13,642,451","6,003,993","          2.27","6,860,823","6,781,628","          1.01"
"강원특별자치도  (5100000000)","1,524,198","763,008","          2.00","766,562","757,636","          1.01"
"충청북도  (4300000000)","1,591,044","782,031","          2.03","809,472","781,572","          1.04"
"충청남도  (4400000000)","2,132,745","1,042,712","          2.05","1,093,684","1,039,061","          1.05"
"전북특별자치도  (5200000000)","1,749,376","863,028","          2.03","870,857","878,519","          0.99"
"전라남도  (4600000000)","1,798,435","911,977","          1.97","906,995","891,440","          1.02"
"경상북도  (4700000000)","2,546,960","1,286,272","          1.98","1,287,412","1,259,548","          1.02"
"경상남도  (4800000000)","3,241,374","1,529,476","          2.12","1,632,685","1,608,689","          1.01"
"제주특별자치도  (5000000000)","673,103","313,626","          2.15","336,826","336,277","          1.00"
